Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
20-12-1989,M Azharuddin,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Karachi
20-12-1989,RJ Shastri,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Karachi
20-12-1989,KS More,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Karachi
20-12-1989,K Srikkanth,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Karachi
20-12-1989,R Lamba,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Karachi
20-12-1989,Maninder Singh,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Karachi
20-12-1989,SV Manjrekar,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Karachi
20-12-1989,NS Sidhu,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Karachi
20-12-1989,SA Ankola,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Karachi
20-12-1989,M Prabhakar,NA,FALSE,NA,NA,NA,NA,NA,NA,TDNB,Pakistan,Karachi
08-03-1990,ND Hirwani,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Australia,Hamilton
25-04-1990,A Kumble,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Sri Lanka,Sharjah
18-07-1990,SK Sharma,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
18-07-1990,M Prabhakar,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
18-07-1990,A Kumble,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
18-07-1990,KS More,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
18-07-1990,N Kapil Dev,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Leeds
20-07-1990,SK Sharma,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Nottingham
20-07-1990,M Prabhakar,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Nottingham
20-07-1990,A Kumble,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Nottingham
20-07-1990,KS More,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Nottingham
01-12-1990,A Kumble,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Sri Lanka,Nagpur
01-12-1990,KS More,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Sri Lanka,Nagpur
01-12-1990,Arshad Ayub,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Sri Lanka,Nagpur
01-12-1990,M Prabhakar,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Sri Lanka,Nagpur
05-12-1990,A Kumble,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Sri Lanka,Pune
05-12-1990,KS More,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Sri Lanka,Pune
05-12-1990,Arshad Ayub,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Sri Lanka,Pune
05-12-1990,M Prabhakar,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Sri Lanka,Pune
05-12-1990,AS Wassan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Sri Lanka,Pune
25-12-1990,M Azharuddin,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Chandigarh
25-12-1990,AS Wassan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Chandigarh
25-12-1990,KS More,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Chandigarh
25-12-1990,SP Mukherjee,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Chandigarh
25-12-1990,N Kapil Dev,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Chandigarh
25-12-1990,SR Tendulkar,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Chandigarh
25-12-1990,M Prabhakar,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Chandigarh
25-12-1990,SLV Raju,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Chandigarh
04-01-1991,SLV Raju,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Sri Lanka,Kolkata
04-01-1991,M Prabhakar,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Sri Lanka,Kolkata
04-01-1991,AS Wassan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Sri Lanka,Kolkata
04-01-1991,SP Mukherjee,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Sri Lanka,Kolkata
04-01-1991,KS More,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Sri Lanka,Kolkata
04-01-1991,N Kapil Dev,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Sri Lanka,Kolkata
